"Table S15. GO enrichment analysis of significant differentially methylated genes between between the pH treatments at Day 135. Column name numDEInCat is 'number of differentially expressed genes in category; column name numInCat is 'number of genes in category'; column name Cat is 'category'; F = Molecular Function, P = Biological Process; C = Cellular Component",GO.IDs,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Cat,GO.Slim.Term,gene,uniprot,uniprot_taxa.id,uniprot.name
118,GO:0099175,0.043688018,0.996789791,2,5,regulation of postsynapse organization,BP,NA,NA,PGEN_.00g204470; PGEN_.00g268760,P41221; Q9EQZ6,WNT5A_HUMAN; RPGF4_MOUSE,Protein Wnt-5a; Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)
119,GO:1903779,0.049715228,0.991976017,3,11,regulation of cardiac conduction,BP,NA,NA,PGEN_.00g164020; PGEN_.00g047880; PGEN_.00g148340,P16066; P57103; P16066,ANPRA_HUMAN; NAC3_HUMAN; ANPRA_HUMAN,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)
120,GO:0030286,0.01495781,0.995446012,8,43,dynein complex,CC,C,cytoskeleton,PGEN_.00g110260; PGEN_.00g206810; PGEN_.00g081000; PGEN_.00g284620; PGEN_.00g270640; PGEN_.00g017860; PGEN_.00g290400; PGEN_.00g028280,Q39565; Q8BW94; Q27802; Q9C0G6; Q2KID4; Q9C0G6; Q9C0G6; Q9JHU4,DYHB_CHLRE; DYH3_MOUSE; DYHC2_TRIGR; DYH6_HUMAN; DNAL1_BOVIN; DYH6_HUMAN; DYH6_HUMAN; DYHC1_MOUSE,"Dynein beta chain, flagellar outer arm; Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3); Cytoplasmic dynein 2 heavy chain 1 (Dynein heavy chain isotype 1B); Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6); Dynein light chain 1, axonemal; Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6); Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6); Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)"
121,GO:0000812,0.006226583,0.999615153,3,7,Swr1 complex,CC,C,nucleus,PGEN_.00g150440; PGEN_.00g039890; PGEN_.00g266070,Q6ZRS2; Q80YV3; Q9Y4A5,SRCAP_HUMAN; TRRAP_MOUSE; TRRAP_HUMAN,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator); Transformation/transcription domain-associated protein (Tra1 homolog); Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)
122,GO:0000124,0.007979874,0.999398634,3,9,SAGA complex,CC,C,nucleus,PGEN_.00g040360; PGEN_.00g039890; PGEN_.00g266070,Q8I8U7; Q80YV3; Q9Y4A5,TRA1_DROME; TRRAP_MOUSE; TRRAP_HUMAN,Transcription-associated protein 1 (dTRA1); Transformation/transcription domain-associated protein (Tra1 homolog); Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)
123,GO:0035267,0.013297068,0.998715872,3,11,NuA4 histone acetyltransferase complex,CC,C,nucleus,PGEN_.00g040360; PGEN_.00g039890; PGEN_.00g266070,Q8I8U7; Q80YV3; Q9Y4A5,TRA1_DROME; TRRAP_MOUSE; TRRAP_HUMAN,Transcription-associated protein 1 (dTRA1); Transformation/transcription domain-associated protein (Tra1 homolog); Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)
124,GO:0030914,0.01763261,0.999316873,2,4,STAGA complex,CC,C,nucleus,PGEN_.00g039890; PGEN_.00g266070,Q80YV3; Q9Y4A5,TRRAP_MOUSE; TRRAP_HUMAN,Transformation/transcription domain-associated protein (Tra1 homolog); Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)
125,GO:0005849,0.043236777,1,1,1,mRNA cleavage factor complex,CC,C,nucleus,PGEN_.00g076500,Q9UPN6,SCAF8_HUMAN,SR-related and CTD-associated factor 8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16)
126,GO:0044615,0.047883237,0.995625601,2,8,nuclear pore nuclear basket,CC,C,nucleus,PGEN_.00g037350; PGEN_.00g102230,Q13257; Q9R1K9,MD2L1_HUMAN; CETN2_MOUSE,Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1); Centrin-2 (Caltractin isoform 1)
127,GO:0060076,0.015058319,0.997626606,4,19,excitatory synapse,CC,C,other cellular component,PGEN_.00g211830; PGEN_.00g268760; PGEN_.00g159920; PGEN_.00g009140,P16056; Q9EQZ6; P24587; Q8BYM5,MET_MOUSE; RPGF4_MOUSE; AKAP5_RAT; NLGN3_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII); A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein); Neuroligin-3 (Gliotactin homolog)
128,GO:0044316,0.04050461,1,1,1,cone cell pedicle,CC,C,other cellular component,PGEN_.00g268760,Q9EQZ6,RPGF4_MOUSE,Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)
129,GO:0034702,0.0050106,1,2,2,ion channel complex,CC,C,other membranes,PGEN_.00g076930; PGEN_.00g065950,P70057; O73925,KCNQ1_XENLA; KCNQ1_SQUAC,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
130,GO:0016012,0.04057076,1,1,1,sarcoglycan complex,CC,C,other membranes,PGEN_.00g085220,P82349,SGCB_MOUSE,Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG)
131,GO:0042175,0.043720849,1,1,1,nuclear outer membrane-endoplasmic reticulum membrane network,CC,C,other membranes,PGEN_.00g290440,Q91V41,RAB14_MOUSE,Ras-related protein Rab-14
132,GO:0005927,0.013549578,0.999674918,2,3,muscle tendon junction,CC,C,plasma membrane,PGEN_.00g279870; PGEN_.00g043360,P00522; A1ZA47,ABL_DROME; ZASP_DROME,Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); PDZ and LIM domain protein Zasp (Z band alternatively spliced PDZ-motif protein)
133,GO:0019897,0.048366385,0.991743879,3,16,extrinsic component of plasma membrane,CC,C,plasma membrane,PGEN_.00g165230; PGEN_.00g279870; PGEN_.00g057380,Q8IWY4; P00522; Q9ESD1,SCUB1_HUMAN; ABL_DROME; PRSS8_MOUSE,"Signal peptide, CUB and EGF-like domain-containing protein 1; Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]"
134,GO:0062023,0.023062937,0.989025116,15,146,collagen-containing extracellular matrix,CC,NA,NA,PGEN_.00g198010; PGEN_.00g149640; PGEN_.00g010200; PGEN_.00g263900; PGEN_.00g043300; PGEN_.00g280060; PGEN_.00g303240; PGEN_.00g285950; PGEN_.00g124830; PGEN_.00g127990; PGEN_.00g242120; PGEN_.00g004510; PGEN_.00g170240; PGEN_.00g140750; PGEN_.00g034040,P05099; Q80YX1; Q99JR5; Q9VZZ4; Q07076; Q61554; Q66K08; D3YXG0; D3YXG0; Q60847; Q9Y625; D3YXG0; P35440; A8TX70; O89029,MATN1_CHICK; TENA_MOUSE; TINAL_MOUSE; PXDN_DROME; ANXA7_MOUSE; FBN1_MOUSE; CILP1_MOUSE; HMCN1_MOUSE; HMCN1_MOUSE; COCA1_MOUSE; GPC6_HUMAN; HMCN1_MOUSE; TSP2_CHICK; CO6A5_HUMAN; MATN4_MOUSE,Cartilage matrix protein (Matrilin-1); Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Tubulointerstitial nephritis antigen-like (Adrenocortical zonation factor 1) (AZ-1) (Androgen-regulated gene 1 protein) (Tubulointerstitial nephritis antigen-related protein) (TARP); Peroxidasin (EC 1.11.1.7); Annexin A7 (Annexin VII) (Annexin-7) (Synexin); Fibrillin-1 [Cleaved into: Asprosin]; Cartilage intermediate layer protein 1 (CILP-1) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]; Hemicentin-1 (Fibulin-6) (FIBL-6); Hemicentin-1 (Fibulin-6) (FIBL-6); Collagen alpha-1(XII) chain; Glypican-6 [Cleaved into: Secreted glypican-6]; Hemicentin-1 (Fibulin-6) (FIBL-6); Thrombospondin-2; Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4); Matrilin-4 (MAT-4)
135,GO:0098993,0.043720849,1,1,1,anchored component of synaptic vesicle membrane,CC,NA,NA,PGEN_.00g290440,Q91V41,RAB14_MOUSE,Ras-related protein Rab-14
136,GO:0005008,0.041737546,1,1,1,hepatocyte growth factor-activated receptor activity,MF,F,kinase activity,PGEN_.00g211830,P16056,MET_MOUSE,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
137,GO:0035516,0.001643809,1,2,2,oxidative DNA demethylase activity,MF,F,other molecular function,PGEN_.00g020710; PGEN_.00g131030,Q13686; Q9NXW9,ALKB1_HUMAN; ALKB4_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)
138,GO:0042806,0.034970941,0.997538981,2,6,fucose binding,MF,F,other molecular function,PGEN_.00g263790; PGEN_.00g302590,Q9I926; Q9I925,FUCL6_ANGJA; FUCL7_ANGJA,Fucolectin-6; Fucolectin-7
139,GO:0032795,0.040499401,1,1,1,heterotrimeric G-protein binding,MF,F,other molecular function,PGEN_.00g102230,Q9R1K9,CETN2_MOUSE,Centrin-2 (Caltractin isoform 1)
140,GO:0050188,0.040506061,1,1,1,phosphoenolpyruvate mutase activity,MF,F,other molecular function,PGEN_.00g133110,P56839,PEPM_MYTED,Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (Phosphoenolpyruvate mutase) (EC 5.4.2.9)
141,GO:0008418,0.040507302,1,1,1,protein-N-terminal asparagine amidohydrolase activity,MF,F,other molecular function,PGEN_.00g133680,Q7Q968,NTAQ1_ANOGA,Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (Protein tungus)
142,GO:0070773,0.040507302,1,1,1,protein-N-terminal glutamine amidohydrolase activity,MF,F,other molecular function,PGEN_.00g133680,Q7Q968,NTAQ1_ANOGA,Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (Protein tungus)
143,GO:0050358,0.040511635,1,1,1,tropinone reductase activity,MF,F,other molecular function,PGEN_.00g279140,P50164,TRN2_HYONI,Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)
144,GO:0070579,0.040632967,1,1,1,methylcytosine dioxygenase activity,MF,F,other molecular function,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
145,GO:0004566,0.040653069,1,1,1,beta-glucuronidase activity,MF,F,other molecular function,PGEN_.00g142400,Q4FAT7,BGLR_PIG,Beta-glucuronidase (EC 3.2.1.31)
146,GO:0003998,0.041131859,1,1,1,acylphosphatase activity,MF,F,other molecular function,PGEN_.00g028040,P41500,ACYP1_BOVIN,"Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte/testis isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)"
147,GO:0043175,0.043236777,1,1,1,RNA polymerase core enzyme binding,MF,F,other molecular function,PGEN_.00g076500,Q9UPN6,SCAF8_HUMAN,SR-related and CTD-associated factor 8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16)
148,GO:0008670,0.043291416,1,1,1,"2,4-dienoyl-CoA reductase (NADPH) activity",MF,F,other molecular function,PGEN_.00g049060,Q6NV34,DECR2_DANRE,"Peroxisomal 2,4-dienoyl-CoA reductase (EC 1.3.1.34) (2,4-dienoyl-CoA reductase 2)"
149,GO:0070224,0.049510558,1,1,1,sulfide:quinone oxidoreductase activity,MF,F,other molecular function,PGEN_.00g150990,Q9Y6N5,SQOR_HUMAN,"Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)"
150,GO:0005175,0.04113837,1,1,1,CD27 receptor binding,MF,F,signal transduction activity,PGEN_.00g023080,O54926,SIVA_MOUSE,Apoptosis regulatory protein Siva (CD27-binding protein) (CD27BP)
151,GO:0031698,0.045815339,0.996256288,2,6,beta-2 adrenergic receptor binding,MF,F,signal transduction activity,PGEN_.00g007340; PGEN_.00g159920,Q08499; P24587,PDE4D_HUMAN; AKAP5_RAT,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43); A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)"
152,GO:0015183,0.01569272,0.999428882,2,4,L-aspartate transmembrane transporter activity,MF,F,transporter activity,PGEN_.00g104460; PGEN_.00g143030,Q9UJS0; Q9Z0Z5,CMC2_HUMAN; S13A3_RAT,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13); Solute carrier family 13 member 3 (Na(+)/dicarboxylate cotransporter 3) (NaDC-3) (rNaDC3) (Sodium-dependent high-affinity dicarboxylate transporter 2)
153,GO:0000295,0.040553961,1,1,1,adenine nucleotide transmembrane transporter activity,MF,F,transporter activity,PGEN_.00g054290,O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)
154,GO:0015230,0.040553961,1,1,1,FAD transmembrane transporter activity,MF,F,transporter activity,PGEN_.00g054290,O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)
155,GO:0044610,0.040553961,1,1,1,FMN transmembrane transporter activity,MF,F,transporter activity,PGEN_.00g054290,O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)
156,GO:0051724,0.040553961,1,1,1,NAD transmembrane transporter activity,MF,F,transporter activity,PGEN_.00g054290,O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)
157,GO:0103053,0.040632967,1,1,1,1-ethyladenine demethylase activity,MF,NA,NA,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
158,GO:1990984,0.040632967,1,1,1,tRNA demethylase activity,MF,NA,NA,PGEN_.00g020710,Q13686,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)
159,GO:0102043,0.040718356,1,1,1,isopentenyl phosphate kinase activity,MF,NA,NA,PGEN_.00g273120,O26153,IPK_METTH,Isopentenyl phosphate kinase (IPK) (EC 2.7.4.26)
160,GO:1990599,0.045281083,1,1,1,3' overhang single-stranded DNA endodeoxyribonuclease activity,MF,NA,NA,PGEN_.00g134810,P18887,XRCC1_HUMAN,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)
