"gene"	"adj.pval.Initial.Treatment"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g275790"	0.00153831413218179	"Scaffold_14"	16759	31643	"P17041"	"ZNF32_HUMAN"	"Zinc finger protein 32 (C2H2-546) (Zinc finger protein KOX30)"	"GO:0003677; GO:0005634; GO:0046872"	"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]"
"PGEN_.00g051980"	0.00158391467717035	"Scaffold_02"	52824661	52840323	"Q9VE46"	"SC5A7_DROME"	"High-affinity choline transporter 1"	"GO:0003333; GO:0005307; GO:0008292; GO:0015171; GO:0015220; GO:0015871; GO:0016021; GO:0033265"	"integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; choline binding [GO:0033265]; choline transmembrane transporter activity [GO:0015220]; choline:sodium symporter activity [GO:0005307]; acetylcholine biosynthetic process [GO:0008292]; amino acid transmembrane transport [GO:0003333]; choline transport [GO:0015871]"
"PGEN_.00g065830"	0.00158575748269125	"Scaffold_03"	21728812	21807530	"Q8WUA2"	"PPIL4_HUMAN"	"Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)"	"GO:0003723; GO:0003755; GO:0005634; GO:0005654; GO:0005829; GO:1901407"	"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]"
"PGEN_.00g073490"	0.00159408602312045	"Scaffold_03"	43409504	43411979	NA	NA	NA	NA	NA
"PGEN_.00g271680"	0.00159803007432835	"Scaffold_13"	33018431	33030805	"Q5U504"	"KLH40_XENLA"	"Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5)"	"GO:0005737; GO:0031397; GO:0031398; GO:0031463; GO:0031672; GO:0031674; GO:0032436; GO:0048741; GO:0098528"	"A band [GO:0031672]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; I band [GO:0031674]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; skeletal muscle fiber development [GO:0048741]; skeletal muscle fiber differentiation [GO:0098528]"
"PGEN_.00g212100"	0.0015986126710515	"Scaffold_10"	21675201	21680103	NA	NA	NA	NA	NA
"PGEN_.00g114100"	0.00162010673441211	"Scaffold_05"	27058068	27069411	NA	NA	NA	NA	NA
"PGEN_.00g170240"	0.00163691860084867	"Scaffold_08"	5603144	5620287	"P35440"	"TSP2_CHICK"	"Thrombospondin-2"	"GO:0005509; GO:0007155; GO:0008201; GO:0016525; GO:0062023"	"collagen-containing extracellular matrix [GO:0062023]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; negative regulation of angiogenesis [GO:0016525]"
"PGEN_.00g277400"	0.00164081357245737	"Scaffold_14"	3391311	3397647	"Q6PCJ9"	"PPT2A_XENLA"	"Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)"	"GO:0005764; GO:0008474"	"lysosome [GO:0005764]; palmitoyl-(protein) hydrolase activity [GO:0008474]"
"PGEN_.00g333860"	0.00164081357245737	"Scaffold_17"	20102311	20118125	NA	NA	NA	NA	NA
"PGEN_.00g305240"	0.00164122472593594	"Scaffold_15"	20769256	20774120	"P18258"	"TBA1_PARLI"	"Tubulin alpha-1 chain"	"GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017"	"cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]"
"PGEN_.00g303970"	0.00164700088306915	"Scaffold_15"	17928215	17933387	"Q99715"	"COCA1_HUMAN"	"Collagen alpha-1(XII) chain"	"GO:0003429; GO:0005576; GO:0005595; GO:0005615; GO:0005788; GO:0007155; GO:0030020; GO:0030199; GO:0031012; GO:0035987; GO:0062023; GO:0070062; GO:1903561"	"collagen type XII trimer [GO:0005595]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; endodermal cell differentiation [GO:0035987]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]"
"PGEN_.00g124930"	0.00164956475181678	"Scaffold_05"	56980891	56987562	NA	NA	NA	NA	NA
"PGEN_.00g072850"	0.00164999571384797	"Scaffold_03"	41621374	41622344	NA	NA	NA	NA	NA
"PGEN_.00g010400"	0.00165313302408771	"Scaffold_01"	27287195	27319844	NA	NA	NA	NA	NA
"PGEN_.00g046300"	0.00168660134020551	"Scaffold_02"	37199633	37203247	NA	NA	NA	NA	NA
"PGEN_.00g077650"	0.00169430397599379	"Scaffold_03"	55799060	55845117	"Q9QUK4"	"BIR1B_MOUSE"	"Baculoviral IAP repeat-containing protein 1b (Neuronal apoptosis inhibitory protein 2)"	"GO:0005524; GO:0006954; GO:0016045; GO:0042742; GO:0043027; GO:0043154; GO:0045087; GO:0046872; GO:0070269; GO:0071391; GO:0072557"	"IPAF inflammasome complex [GO:0072557]; ATP binding [GO:0005524]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; cellular response to estrogen stimulus [GO:0071391]; defense response to bacterium [GO:0042742]; detection of bacterium [GO:0016045]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; pyroptosis [GO:0070269]"
"PGEN_.00g004670"	0.00170231775388376	"Scaffold_01"	11858526	11923216	"Q7TPD6"	"RAVR2_MOUSE"	"Ribonucleoprotein PTB-binding 2 (Protein raver-2)"	"GO:0003723; GO:0005634; GO:0005737"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA binding [GO:0003723]"
"PGEN_.00g139530"	0.00170231775388376	"Scaffold_06"	25730256	25730618	NA	NA	NA	NA	NA
"PGEN_.00g177130"	0.00172578149988469	"Scaffold_08"	24508625	24619344	NA	NA	NA	NA	NA
"PGEN_.00g110790"	0.00172886909525002	"Scaffold_05"	17367083	17378940	"Q1LVN8"	"SELO1_DANRE"	"Protein adenylyltransferase SelO-1, mitochondrial (EC 2.7.7.-) (EC 2.7.7.n1) (Selenoprotein O) (SelO)"	"GO:0005524; GO:0005739; GO:0016779; GO:0046872"	"mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]"
"PGEN_.00g284740"	0.00172886909525002	"Scaffold_14"	21012924	21029244	"Q9QZS8"	"SH2D3_MOUSE"	"SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (SH2 domain-containing Eph receptor-binding protein 1)"	"GO:0005068; GO:0005085; GO:0005737; GO:0007165; GO:0007264; GO:0016020; GO:0033138"	"cytoplasm [GO:0005737]; membrane [GO:0016020]; guanyl-nucleotide exchange factor activity [GO:0005085]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; signal transduction [GO:0007165]; small GTPase mediated signal transduction [GO:0007264]"
"PGEN_.00g133730"	0.00174287492304289	"Scaffold_06"	11747832	11786581	"Q9CQ33"	"LZTR1_MOUSE"	"Leucine-zipper-like transcriptional regulator 1 (LZTR-1)"	"GO:0005794; GO:0012505; GO:0016567; GO:0017016; GO:0031463; GO:0046580; GO:0055038"	"Cul3-RING ubiquitin ligase complex [GO:0031463]; endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; recycling endosome membrane [GO:0055038]; Ras GTPase binding [GO:0017016]; negative regulation of Ras protein signal transduction [GO:0046580]; protein ubiquitination [GO:0016567]"
"PGEN_.00g285350"	0.0017543494839472	"Scaffold_14"	22533352	22584185	NA	NA	NA	NA	NA
"PGEN_.00g029440"	0.00178076283980567	"Scaffold_01"	80902424	80905529	NA	NA	NA	NA	NA
"PGEN_.00g104730"	0.00179852130522763	"Scaffold_05"	2521223	2525989	NA	NA	NA	NA	NA
"PGEN_.00g234420"	0.00179852130522763	"Scaffold_11"	29142548	29164673	NA	NA	NA	NA	NA
"PGEN_.00g029460"	0.00182775643163546	"Scaffold_01"	80906399	80932632	"B2GV47"	"RADX_RAT"	"RPA-related protein RADX"	"GO:0003697; GO:0005657; GO:2000042"	"replication fork [GO:0005657]; single-stranded DNA binding [GO:0003697]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]"
"PGEN_.00g078360"	0.00185602944101051	"Scaffold_04"	563	3115	NA	NA	NA	NA	NA
"PGEN_.00g266090"	0.00189208150661591	"Scaffold_13"	17660971	17666122	NA	NA	NA	NA	NA
"PGEN_.00g009970"	0.00193685584986054	"Scaffold_01"	26472483	26502573	"Q9BYK8"	"HELZ2_HUMAN"	"Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)"	"GO:0000184; GO:0003677; GO:0003723; GO:0004386; GO:0004540; GO:0005524; GO:0005654; GO:0005737; GO:0016020; GO:0019216; GO:0030374; GO:0045944; GO:0046872"	"cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nuclear receptor transcription coactivator activity [GO:0030374]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of lipid metabolic process [GO:0019216]"
"PGEN_.00g108510"	0.00193994181029015	"Scaffold_05"	11325835	11347220	"B0KTX4"	"UBIG_PSEPG"	"Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)"	"GO:0006744; GO:0008425; GO:0008689; GO:0032259"	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]"
"PGEN_.00g323390"	0.00194986320815976	"Scaffold_16"	21268025	21269948	NA	NA	NA	NA	NA
"PGEN_.00g198490"	0.00195290606395129	"Scaffold_09"	21693301	21727255	"O15014"	"ZN609_HUMAN"	"Zinc finger protein 609"	"GO:0003676; GO:0005634; GO:0005654; GO:0006357; GO:0007517; GO:0032039; GO:0045944; GO:0046872; GO:2000291; GO:2001224"	"integrator complex [GO:0032039]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; muscle organ development [GO:0007517]; positive regulation of neuron migration [GO:2001224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of myoblast proliferation [GO:2000291]; regulation of transcription by RNA polymerase II [GO:0006357]"
"PGEN_.00g006120"	0.00198515945663633	"Scaffold_01"	15441130	15455918	NA	NA	NA	NA	NA
"PGEN_.00g039410"	0.00207220286911339	"Scaffold_02"	17010731	17024004	NA	NA	NA	NA	NA
"PGEN_.00g066340"	0.00207220286911339	"Scaffold_03"	23576108	23642329	"A2ASS6"	"TITIN_MOUSE"	"Titin (EC 2.7.11.1) (Connectin)"	"GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0007507; GO:0007512; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0021591; GO:0030016; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0071688; GO:1901897"	"A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; telethonin binding [GO:0031433]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]"
"PGEN_.00g322680"	0.00207220286911339	"Scaffold_16"	18265738	18286356	"P26221"	"GUN4_THEFU"	"Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)"	"GO:0008810; GO:0030245; GO:0030248"	"cellulase activity [GO:0008810]; cellulose binding [GO:0030248]; cellulose catabolic process [GO:0030245]"
"PGEN_.00g328290"	0.00207425514691353	"Scaffold_17"	2395545	2400683	NA	NA	NA	NA	NA
"PGEN_.00g185730"	0.00212671758134652	"Scaffold_08"	46497395	46540125	"Q8BWU8"	"AT2L1_MOUSE"	"Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)"	"GO:0005739; GO:0008483; GO:0030170; GO:0050459"	"mitochondrion [GO:0005739]; ethanolamine-phosphate phospho-lyase activity [GO:0050459]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]"
"PGEN_.00g082320"	0.00214390095040318	"Scaffold_04"	9681312	9713169	NA	NA	NA	NA	NA
"PGEN_.00g149190"	0.00214390095040318	"Scaffold_06"	52367971	52381693	"P38542"	"RAN_BRUMA"	"GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4)"	"GO:0003924; GO:0005525; GO:0005634; GO:0006913; GO:0015031"	"nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]"
"PGEN_.00g303480"	0.00214390095040318	"Scaffold_15"	16094001	16102600	NA	NA	NA	NA	NA
"PGEN_.00g009130"	0.00217775671213679	"Scaffold_01"	23640484	23674950	"Q7ZVT3"	"SAS6_DANRE"	"Spindle assembly abnormal protein 6 homolog"	"GO:0000280; GO:0005737; GO:0005813; GO:0005814; GO:0007052; GO:0007099; GO:0007283; GO:0040016; GO:0051298; GO:0098536"	"centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; deuterosome [GO:0098536]; centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; embryonic cleavage [GO:0040016]; mitotic spindle organization [GO:0007052]; nuclear division [GO:0000280]; spermatogenesis [GO:0007283]"
"PGEN_.00g163110"	0.00219174013891554	"Scaffold_07"	28651434	28656340	NA	NA	NA	NA	NA
"PGEN_.00g089390"	0.00223805468906434	"Scaffold_04"	27990063	28003451	NA	NA	NA	NA	NA
"PGEN_.00g163180"	0.00224491323548962	"Scaffold_07"	28671234	28673825	NA	NA	NA	NA	NA
"PGEN_.00g186770"	0.00234505514511971	"Scaffold_08"	49348404	49384398	"Q9BUB4"	"ADAT1_HUMAN"	"tRNA-specific adenosine deaminase 1 (hADAT1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase)"	"GO:0003723; GO:0008033; GO:0008251; GO:0046872"	"metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA-specific adenosine deaminase activity [GO:0008251]; tRNA processing [GO:0008033]"
"PGEN_.00g162260"	0.00239737528038408	"Scaffold_07"	26376868	26425008	"P17427"	"AP2A2_MOUSE"	"AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)"	"GO:0006886; GO:0008021; GO:0016192; GO:0019901; GO:0019904; GO:0030117; GO:0030122; GO:0030141; GO:0031410; GO:0035091; GO:0035615; GO:0044877; GO:0072583; GO:0097718; GO:1902036"	"AP-2 adaptor complex [GO:0030122]; cytoplasmic vesicle [GO:0031410]; membrane coat [GO:0030117]; secretory granule [GO:0030141]; synaptic vesicle [GO:0008021]; clathrin adaptor activity [GO:0035615]; disordered domain specific binding [GO:0097718]; phosphatidylinositol binding [GO:0035091]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]; regulation of hematopoietic stem cell differentiation [GO:1902036]; vesicle-mediated transport [GO:0016192]"
"PGEN_.00g170010"	0.00240179826072756	"Scaffold_08"	5050520	5055437	NA	NA	NA	NA	NA
"PGEN_.00g012470"	0.00240483893861061	"Scaffold_01"	32289113	32309100	"Q9Y394"	"DHRS7_HUMAN"	"Dehydrogenase/reductase SDR family member 7 (EC 1.1.-.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4) (Short chain dehydrogenase/reductase family 34C member 1)"	"GO:0016020; GO:0016491"	"membrane [GO:0016020]; oxidoreductase activity [GO:0016491]"
"PGEN_.00g076240"	0.00241701581512956	"Scaffold_03"	52152325	52203760	"O43895"	"XPP2_HUMAN"	"Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (Membrane-bound AmP) (mAmP) (X-Pro aminopeptidase 2)"	"GO:0004177; GO:0005576; GO:0005737; GO:0005886; GO:0016020; GO:0031225; GO:0046872; GO:0070006; GO:0070062"	"anchored component of membrane [GO:0031225]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]"
"PGEN_.00g265900"	0.00243968807988077	"Scaffold_13"	17159090	17164885	NA	NA	NA	NA	NA
"PGEN_.00g229990"	0.00247012799389309	"Scaffold_11"	16720894	16732070	"Q8R0M8"	"MOT5_MOUSE"	"Monocarboxylate transporter 5 (MCT 5)"	"GO:0005886; GO:0008028; GO:0015293; GO:0016021"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]"
"PGEN_.00g103680"	0.00248091527647851	"Scaffold_04"	64914555	64945058	"E1BLK7"	"MIEAP_BOVIN"	"Mitochondria-eating protein (Spermatogenesis-associated protein 18)"	"GO:0005737; GO:0005741; GO:0006974; GO:0035694; GO:0035695; GO:0043231"	"cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial outer membrane [GO:0005741]; cellular response to DNA damage stimulus [GO:0006974]; mitochondrial protein catabolic process [GO:0035694]; mitophagy by induced vacuole formation [GO:0035695]"
"PGEN_.00g241260"	0.00248091527647851	"Scaffold_11"	48230472	48260030	NA	NA	NA	NA	NA
"PGEN_.00g321860"	0.00249322292032778	"Scaffold_16"	16183820	16209195	"Q9UBZ9"	"REV1_HUMAN"	"DNA repair protein REV1 (EC 2.7.7.-) (Alpha integrin-binding protein 80) (AIBP80) (Rev1-like terminal deoxycytidyl transferase)"	"GO:0003684; GO:0003887; GO:0005654; GO:0006260; GO:0009411; GO:0017125; GO:0019985; GO:0042276; GO:0046872; GO:0070987"	"nucleoplasm [GO:0005654]; damaged DNA binding [GO:0003684]; deoxycytidyl transferase activity [GO:0017125]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; DNA replication [GO:0006260]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; response to UV [GO:0009411]; translesion synthesis [GO:0019985]"
"PGEN_.00g325480"	0.00249504162574228	"Scaffold_16"	26965591	26977403	NA	NA	NA	NA	NA
"PGEN_.00g337830"	0.00249504162574228	"Scaffold_17"	31545329	31552546	NA	NA	NA	NA	NA
"PGEN_.00g240470"	0.00250009975185601	"Scaffold_11"	46326503	46391025	"P0C6B8"	"SVEP1_RAT"	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	"GO:0003682; GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020"	"cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; cell adhesion [GO:0007155]"
"PGEN_.00g310530"	0.0025135348075348	"Scaffold_15"	34641494	34641793	NA	NA	NA	NA	NA
"PGEN_.00g123580"	0.00251865789130524	"Scaffold_05"	53408324	53574213	"Q9QZS7"	"NPHN_MOUSE"	"Nephrin (Renal glomerulus-specific cell adhesion receptor)"	"GO:0000165; GO:0005886; GO:0005887; GO:0005925; GO:0007155; GO:0007254; GO:0007519; GO:0007520; GO:0016020; GO:0016021; GO:0017022; GO:0019904; GO:0030507; GO:0030838; GO:0032836; GO:0032991; GO:0035418; GO:0036057; GO:0042995; GO:0044062; GO:0045121; GO:0051393; GO:0072015"	"cell projection [GO:0042995]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; slit diaphragm [GO:0036057]; alpha-actinin binding [GO:0051393]; myosin binding [GO:0017022]; protein domain specific binding [GO:0019904]; spectrin binding [GO:0030507]; cell adhesion [GO:0007155]; glomerular basement membrane development [GO:0032836]; glomerular visceral epithelial cell development [GO:0072015]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; myoblast fusion [GO:0007520]; positive regulation of actin filament polymerization [GO:0030838]; protein localization to synapse [GO:0035418]; regulation of excretion [GO:0044062]; skeletal muscle tissue development [GO:0007519]"
"PGEN_.00g013150"	0.00254400594863869	"Scaffold_01"	34253405	34263059	"Q9BQ04"	"RBM4B_HUMAN"	"RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30)"	"GO:0000381; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006417; GO:0007623; GO:0008270; GO:0010628; GO:0016607; GO:0032922; GO:0032991; GO:0043153; GO:0045292"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; mRNA cis splicing, via spliceosome [GO:0045292]; positive regulation of gene expression [GO:0010628]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]"
"PGEN_.00g108800"	0.00260730486849142	"Scaffold_05"	12126721	12185082	"Q10751"	"ACE_CHICK"	"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (Fragment)"	"GO:0003081; GO:0003084; GO:0004180; GO:0005615; GO:0005886; GO:0008237; GO:0008238; GO:0008239; GO:0008241; GO:0008270; GO:0008283; GO:0016021; GO:0045777; GO:0060319"	"extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carboxypeptidase activity [GO:0004180]; dipeptidyl-peptidase activity [GO:0008239]; exopeptidase activity [GO:0008238]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; zinc ion binding [GO:0008270]; cell population proliferation [GO:0008283]; positive regulation of blood pressure [GO:0045777]; positive regulation of systemic arterial blood pressure [GO:0003084]; primitive erythrocyte differentiation [GO:0060319]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]"
"PGEN_.00g045780"	0.00264281168985136	"Scaffold_02"	35671822	35681045	"Q80YR4"	"ZN598_MOUSE"	"E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)"	"GO:0003676; GO:0006513; GO:0016567; GO:0043022; GO:0046872; GO:0061630; GO:0072344"	"metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; ribosome binding [GO:0043022]; ubiquitin protein ligase activity [GO:0061630]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]"
"PGEN_.00g310700"	0.00265601329187252	"Scaffold_15"	35001113	35001961	NA	NA	NA	NA	NA
"PGEN_.00g122140"	0.00269293574895501	"Scaffold_05"	49435083	49449822	NA	NA	NA	NA	NA
"PGEN_.00g137890"	0.00270915612667058	"Scaffold_06"	21779976	21805572	NA	NA	NA	NA	NA
