"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","reason","matches","identifier","name","namespace","description","class"
"257","GO:0071635",0.0493629615589474,1,1,1,NA,NA,"MATCH",1,"GO:0071635","negative regulation of transforming growth factor beta production","BP","Any process that stops, prevents, or reduces the frequency, rate, or extent of production of transforming growth factor-beta.","GOTerm"
"258","GO:0071774",0.049460473016561,1,1,1,NA,NA,"MATCH",1,"GO:0071774","response to fibroblast growth factor","BP","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fibroblast growth factor stimulus.","GOTerm"
"259","GO:0071799",0.049460473016561,1,1,1,NA,NA,"MATCH",1,"GO:0071799","cellular response to prostaglandin D stimulus","BP","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a prostagladin D stimulus.","GOTerm"
"263","GO:0072170",0.0487120935618471,1,1,1,NA,NA,"MATCH",1,"GO:0072170","metanephric tubule development","BP","The progression of a metanephric tubule over time, from its initial formation to the mature structure. A metanephric tubule is an epithelial tube that is part of the metanephros.","GOTerm"
"264","GO:0072382",0.0486700277025889,1,1,1,NA,NA,"MATCH",1,"GO:0072382","minus-end-directed vesicle transport along microtubule","BP","The directed movement of a vesicle towards the minus end of a microtubule, mediated by motor proteins. This process begins with the attachment of a vesicle to a microtubule, and ends when the vesicle reaches its final destination.","GOTerm"
"265","GO:0072560",0.0493835534326668,1,1,1,NA,NA,"MATCH",1,"GO:0072560","type B pancreatic cell maturation","BP","A developmental process, independent of morphogenetic (shape) change, that is required for a type B pancreatic cell to attain its fully functional state. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin.","GOTerm"
"266","GO:0075523",0.0498198603945612,1,1,1,NA,NA,"MATCH",1,"GO:0075523","viral translational frameshifting","BP","A process which occurs during viral translation, which involves a translational recoding mechanism called programmed ribosomal frameshifting. This causes the ribosome to alter its reading of the mRNA to an a different open reading frame to produce alternate viral proteins.","GOTerm"
"269","GO:0086024",0.049891905670969,1,1,1,NA,NA,"MATCH",1,"GO:0086024","adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate","BP","An adrenergic receptor signaling pathway that contributes to an increase in frequency or rate of heart contraction. Binding of adrenalin or noradrenalin to a beta-adrenergic receptor on the surface of the signal-receiving cell results in the activation of an intracellular Gs protein. Gs activates adenylate cyclase to increase intracellular cyclic-AMP (cAMP) levels. cAMP binds directly to F-channels to allow an inward flow of sodium (known as funny current, or If current). The funny current is responsible for membrane depolarization and an increase in heart rate.","GOTerm"
"270","GO:0086045",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:0086045","membrane depolarization during AV node cell action potential","BP","The process in which AV node cardiac muscle cell membrane potential changes in the depolarizing direction from the negative resting potential towards the positive membrane potential that will be the peak of the action potential.","GOTerm"
"271","GO:0086047",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:0086047","membrane depolarization during Purkinje myocyte cell action potential","BP","The process in which Purkinje myocyte membrane potential changes in the depolarizing direction from the negative resting potential towards the positive membrane potential that will be the peak of the action potential.","GOTerm"
"272","GO:0086048",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:0086048","membrane depolarization during bundle of His cell action potential","BP","The process in which bundle of His cardiac muscle cell membrane potential changes in the depolarizing direction from the negative resting potential towards the positive membrane potential that will be the peak of the action potential.","GOTerm"
"278","GO:0090266",0.0483015329638384,1,1,1,NA,NA,"MATCH",1,"GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","BP","Any process that modulates the rate, frequency, or extent of the mitotic cell cycle spindle assembly checkpoint, a cell cycle checkpoint that delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and chromosomes are attached to the spindle.","GOTerm"
"280","GO:0090625",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:0090625","mRNA cleavage involved in gene silencing by siRNA","BP","The process in which small interfering RNAs (siRNAs) direct the cleavage of target mRNAs. Once incorporated into a RNA-induced silencing complex (RISC), a siRNA will typically direct cleavage by base pairing with perfect or near-perfect complementarity to the target mRNA.","GOTerm"
"281","GO:0097094",0.0470918387438903,1,1,1,NA,NA,"MATCH",1,"GO:0097094","craniofacial suture morphogenesis","BP","The process in which any suture between cranial and/or facial bones is generated and organized.","GOTerm"
"282","GO:0097155",0.0470918387438903,1,1,1,NA,NA,"MATCH",1,"GO:0097155","fasciculation of sensory neuron axon","BP","The collection of sensory neuron axons into a bundle of rods, known as a fascicle.","GOTerm"
"283","GO:0097325",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0097325","melanocyte proliferation","BP","The multiplication or reproduction of melanocytes, resulting in the expansion of a cell population. A melanocyte is a pigment cell derived from the neural crest. It contains melanin-filled pigment granules, which give a brown to black appearance.","GOTerm"
"284","GO:0097552",0.0477449724883948,1,1,1,NA,NA,"MATCH",1,"GO:0097552","mitochondrial double-strand break repair via homologous recombination","BP","The repair of a double-strand break in mitochondrial DNA in which the broken DNA molecule is repaired using homologous sequences.","GOTerm"
"287","GO:0098912",0.0452375172417794,1,1,1,NA,NA,"MATCH",1,"GO:0098912","membrane depolarization during atrial cardiac muscle cell action potential","BP","The process in which atrial cardiac muscle cell membrane potential changes in the depolarizing direction from the negative resting potential towards the positive membrane potential that will be the peak of the action potential.","GOTerm"
"289","GO:0099068",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:0099068","postsynapse assembly","BP","The aggregation, arrangement and bonding together of a set of components to form a postsynapse.","GOTerm"
"295","GO:1900408",0.04897017336189,1,1,1,NA,NA,"MATCH",1,"GO:1900408","negative regulation of cellular response to oxidative stress","BP","Any process that stops, prevents or reduces the frequency, rate or extent of cellular response to oxidative stress.","GOTerm"
"296","GO:1900452",0.0493748166546722,1,1,1,NA,NA,"MATCH",1,"GO:1900452","regulation of long-term synaptic depression","BP","Any process that modulates the frequency, rate or extent of long term synaptic depression.","GOTerm"
"297","GO:1901165",0.0464519523481748,1,1,1,NA,NA,"MATCH",1,"GO:1901165","positive regulation of trophoblast cell migration","BP","Any process that activates or increases the frequency, rate or extent of trophoblast cell migration.","GOTerm"
"299","GO:1901299",0.0493629615589474,1,1,1,NA,NA,"MATCH",1,"GO:1901299","negative regulation of hydrogen peroxide-mediated programmed cell death","BP","Any process that stops, prevents or reduces the frequency, rate or extent of hydrogen peroxide-mediated programmed cell death.","GOTerm"
"300","GO:1901386",0.0498736888464917,1,1,1,NA,NA,"MATCH",1,"GO:1901386","negative regulation of voltage-gated calcium channel activity","BP","Any process that stops, prevents or reduces the frequency, rate or extent of voltage-gated calcium channel activity.","GOTerm"
"301","GO:1901898",0.049891905670969,1,1,1,NA,NA,"MATCH",1,"GO:1901898","negative regulation of relaxation of cardiac muscle","BP","Any process that stops, prevents or reduces the frequency, rate or extent of relaxation of cardiac muscle.","GOTerm"
"302","GO:1902083",0.04897017336189,1,1,1,NA,NA,"MATCH",1,"GO:1902083","negative regulation of peptidyl-cysteine S-nitrosylation","BP","Any process that stops, prevents or reduces the frequency, rate or extent of peptidyl-cysteine S-nitrosylation.","GOTerm"
"310","GO:1903949",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:1903949","positive regulation of atrial cardiac muscle cell action potential","BP","Any process that activates or increases the frequency, rate or extent of atrial cardiac muscle cell action potential.","GOTerm"
"312","GO:1904199",0.0494248549507185,1,1,1,NA,NA,"MATCH",1,"GO:1904199","positive regulation of regulation of vascular smooth muscle cell membrane depolarization","BP","Any process that activates or increases the frequency, rate or extent of regulation of vascular smooth muscle cell membrane depolarization.","GOTerm"
"313","GO:1904293",0.0455379503878717,1,1,1,NA,NA,"MATCH",1,"GO:1904293","negative regulation of ERAD pathway","BP","Any process that stops, prevents or reduces the frequency, rate or extent of ERAD pathway.","GOTerm"
"314","GO:1904457",0.0493758102378322,1,1,1,NA,NA,"MATCH",1,"GO:1904457","positive regulation of neuronal action potential","BP","Any process that activates or increases the frequency, rate or extent of neuronal action potential.","GOTerm"
"315","GO:1904934",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:1904934","negative regulation of cell proliferation in midbrain","BP","Any process that stops, prevents or reduces the frequency, rate or extent of cell proliferation in midbrain.","GOTerm"
"317","GO:1904955",0.045566954750469,1,1,1,NA,NA,"MATCH",1,"GO:1904955","planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation","BP","Any Wnt signaling pathway, planar cell polarity pathway that is involved in midbrain dopaminergic neuron differentiation.","GOTerm"
"318","GO:1905344",0.0488909172648303,1,1,1,NA,NA,"MATCH",1,"GO:1905344","prostaglandin catabolic process","BP","The chemical reactions and pathways resulting in the breakdown of prostaglandin.","GOTerm"
"319","GO:1905929",0.0469087060337821,1,1,1,NA,NA,"MATCH",1,"GO:1905929","positive regulation of invadopodium disassembly","BP","Any process that activates or increases the frequency, rate or extent of invadopodium disassembly.","GOTerm"
"322","GO:1990654",0.0490495200399418,1,1,1,NA,NA,"MATCH",1,"GO:1990654","sebum secreting cell proliferation","BP","The multiplication or reproduction of sebocytes by cell division, resulting in the expansion of their population. A sebocyte is an epithelial cell that makes up the sebaceous glands, and secrete sebum.","GOTerm"
"323","GO:1990983",0.0460345291595944,1,1,1,NA,NA,"MATCH",1,"GO:1990983","tRNA demethylation","BP","The removal of a methyl group from one or more residues within a tRNA molecule.","GOTerm"
"325","GO:2000078",0.0493835534326668,1,1,1,NA,NA,"MATCH",1,"GO:2000078","positive regulation of type B pancreatic cell development","BP","Any process that activates or increases the frequency, rate or extent of pancreatic B cell development.","GOTerm"
"326","GO:2000290",0.0499179383945327,1,1,1,NA,NA,"MATCH",1,"GO:2000290","regulation of myotome development","BP","Any process that modulates the frequency, rate or extent of myotome development.","GOTerm"
"327","GO:2000348",0.0452150144885705,1,1,1,NA,NA,"MATCH",1,"GO:2000348","regulation of CD40 signaling pathway","BP","Any process that modulates the frequency, rate or extent of signaling via the CD40 signaling pathway.","GOTerm"
"330","GO:2001125",0.0498198603945612,1,1,1,NA,NA,"MATCH",1,"GO:2001125","negative regulation of translational frameshifting","BP","Any process that stops, prevents or reduces the frequency, rate or extent of translational frameshifting.","GOTerm"
"331","GO:2001280",0.0484971426393035,1,1,1,NA,NA,"MATCH",1,"GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process","BP","Any process that activates or increases the frequency, rate or extent of unsaturated fatty acid biosynthetic process.","GOTerm"
